,Date,Hour,State,code,Train,CarNumber,Equipement,Pressure
6,2022-05-01,23:50:33,Disp,Door,55TR_,C1,2D,2.97
7,2022-05-01,23:50:20,App,Door,55TR_,C1,2D,2.98
8,2022-05-01,23:49:31,Disp,Door,106TR_,C1,1G,2.95
9,2022-05-01,23:49:30,App,Door,106TR_,C1,1G,2.96
10,2022-05-01,23:46:54,App,Pressure,92TR_,T,-,-
11,2022-05-01,23:46:54,Disp,Pressure,92TR_,T,-,-
12,2022-05-01,23:46:54,App,Pressure,101TR_,T,-,-
13,2022-05-01,23:46:54,Disp,Pressure,101TR_,T,-,-
14,2022-05-01,23:46:13,App,Pressure,32TR_,T,-,-
15,2022-05-01,23:46:13,Disp,Pressure,32TR_,T,-,-
16,2022-05-01,23:37:26,App,Door,8TR_,C3,3D,3.07
17,2022-05-01,23:37:26,Disp,Door,8TR_,C3,3D,3.07
18,2022-05-01,23:36:02,App,Pressure,40TR_,T,-,-
19,2022-05-01,23:36:02,Disp,Pressure,40TR_,T,-,-
22,2022-05-01,23:33:52,Disp,Door,17TR_,C3,3G,2.96
23,2022-05-01,23:33:45,App,Pressure,51TR_,T,-,-
24,2022-05-01,23:33:45,Disp,Pressure,51TR_,T,-,-
25,2022-05-01,23:33:23,App,Door,17TR_,C3,3G,2.96
28,2022-05-01,23:24:57,Disp,Door,8TR_,C3,3D,2.98
30,2022-05-01,23:24:56,App,Door,8TR_,C3,3D,2.98
34,2022-05-01,23:19:47,App,Door,32TR_,C5,3D,2.92
35,2022-05-01,23:19:47,Disp,Door,32TR_,C5,3D,2.92
36,2022-05-01,23:18:33,App,Door,90TR_,C5,2G,2.86
37,2022-05-01,23:18:33,Disp,Door,90TR_,C5,2G,2.86
38,2022-05-01,23:18:10,App,Pressure,106TR_,T,-,-
39,2022-05-01,23:18:10,Disp,Pressure,106TR_,T,-,-
40,2022-05-01,23:16:27,Disp,Door,132TR_,C1,3D,2.85
41,2022-05-01,23:16:18,App,Door,132TR_,C1,3D,2.85
46,2022-05-01,23:10:15,Disp,Pressure,106TR_,T,-,-
47,2022-05-01,23:10:14,App,Pressure,106TR_,T,-,-
48,2022-05-01,23:08:19,App,Pressure,106TR_,T,-,-
49,2022-05-01,23:08:19,Disp,Pressure,106TR_,T,-,-
52,2022-05-01,23:02:08,App,Door,69TR_,C1,2G,2.94
53,2022-05-01,23:02:08,Disp,Door,69TR_,C1,2G,2.94
62,2022-05-01,22:46:39,Disp,Door,8TR_,C3,3D,2.83
63,2022-05-01,22:46:38,App,Door,8TR_,C3,3D,2.83
70,2022-05-01,22:34:35,Disp,Door,90TR_,C5,2G,2.9
71,2022-05-01,22:34:34,App,Door,90TR_,C5,2G,2.9
72,2022-05-01,22:27:18,Disp,Door,70TR_,C3,1D,3.08
73,2022-05-01,22:27:16,App,Door,70TR_,C3,1D,3.08
78,2022-05-01,22:14:34,Disp,Door,110TR_,C2,3D,2.83
79,2022-05-01,22:14:33,Disp,Door,55TR_,C2,2G,2.85
80,2022-05-01,22:14:33,App,Door,110TR_,C2,3D,2.83
81,2022-05-01,22:14:25,App,Door,55TR_,C2,2G,2.85
86,2022-05-01,22:04:15,Disp,Door,29TR_,C3,2D,3.13
87,2022-05-01,22:04:14,App,Door,29TR_,C3,2D,3.13
