,Date,Hour,State,code,Train,CarNumber,Equipement,Pressure
6,2022-06-01,23:50:58,Disp,Door,82TR_,C4,1G,3.04
7,2022-06-01,23:50:57,App,Door,82TR_,C4,1G,3.04
16,2022-06-01,23:34:12,Disp,Door,78TR_,C4,1D,2.94
17,2022-06-01,23:34:11,App,Door,78TR_,C4,1D,2.94
20,2022-06-01,23:29:48,Disp,Door,96TR_,C2,3D,2.89
21,2022-06-01,23:29:33,App,Door,96TR_,C2,3D,2.89
22,2022-06-01,23:22:28,App,Pressure,60TR_,T,-,-
23,2022-06-01,23:22:28,Disp,Pressure,60TR_,T,-,-
30,2022-06-01,23:20:09,Disp,Door,128TR_,C1,2G,3.88
31,2022-06-01,23:19:30,App,Door,128TR_,C1,2G,3.88
34,2022-06-01,23:13:08,App,Pressure,60TR_,T,-,-
35,2022-06-01,23:13:08,Disp,Pressure,60TR_,T,-,-
38,2022-06-01,23:08:24,App,Pressure,60TR_,T,-,-
39,2022-06-01,23:08:24,Disp,Pressure,60TR_,T,-,-
48,2022-06-01,23:03:16,App,Door,84TR_,C1,3G,3.87
49,2022-06-01,23:03:16,Disp,Door,84TR_,C1,3G,3.87
50,2022-06-01,23:02:11,App,Door,78TR_,C1,3D,3.25
51,2022-06-01,23:02:11,Disp,Door,78TR_,C1,3D,3.25
52,2022-06-01,23:01:18,App,Door,120TR_,C2,3G,2.9
53,2022-06-01,23:01:18,Disp,Door,120TR_,C2,3G,2.9
62,2022-06-01,22:49:58,Disp,Door,139TR_,C5,1G,3.51
63,2022-06-01,22:49:53,App,Door,139TR_,C5,1G,3.5
64,2022-06-01,22:49:49,App,Pressure,118TR_,T,-,-
65,2022-06-01,22:49:49,Disp,Pressure,118TR_,T,-,-
66,2022-06-01,22:48:29,Disp,Door,78TR_,C3,1G,4.07
67,2022-06-01,22:48:28,App,Door,78TR_,C3,1G,4.07
72,2022-06-01,22:37:02,Disp,Door,80TR_,C1,3D,2.8
73,2022-06-01,22:36:09,App,Door,80TR_,C1,3D,2.8
74,2022-06-01,22:29:53,Disp,Door,120TR_,C5,2D,2.96
75,2022-06-01,22:29:52,App,Door,120TR_,C5,2D,2.96
78,2022-06-01,22:21:21,Disp,Door,3TR_,C1,1D,3.98
81,2022-06-01,22:21:12,App,Door,3TR_,C1,1D,3.98
82,2022-06-01,22:15:24,Disp,Door,119TR_,C5,2G,3.32
83,2022-06-01,22:15:22,App,Door,119TR_,C5,2G,3.32
86,2022-06-01,22:11:50,Disp,Door,120TR_,C5,1D,3.45
87,2022-06-01,22:11:36,App,Door,120TR_,C5,1D,3.46
98,2022-06-01,21:58:56,Disp,Door,120TR_,C5,1D,2.9
99,2022-06-01,21:58:53,App,Door,120TR_,C5,1D,2.9
104,2022-06-01,21:56:39,App,Pressure,124TR_,T,-,-
105,2022-06-01,21:56:39,Disp,Pressure,124TR_,T,-,-
