,Date,Hour,State,code,Train,CarNumber,Equipement,Pressure
0,2022-02-01,23:58:13,App,Pressure,27TR_,T,-,-
1,2022-02-01,23:58:13,Disp,Pressure,27TR_,T,-,-
2,2022-02-01,23:52:17,Disp,Pressure,44TR_,T,-,-
3,2022-02-01,23:52:16,App,Pressure,44TR_,T,-,-
4,2022-02-01,23:51:47,App,Pressure,56TR_,T,-,-
5,2022-02-01,23:51:47,Disp,Pressure,56TR_,T,-,-
6,2022-02-01,23:49:33,App,Pressure,27TR_,T,-,-
7,2022-02-01,23:49:33,Disp,Pressure,27TR_,T,-,-
8,2022-02-01,23:47:39,App,Pressure,27TR_,T,-,-
9,2022-02-01,23:47:39,Disp,Pressure,27TR_,T,-,-
10,2022-02-01,23:46:28,App,Door,44TR_,C1,2G,2.99
11,2022-02-01,23:46:28,Disp,Door,44TR_,C1,2G,2.99
12,2022-02-01,23:43:48,App,Pressure,27TR_,T,-,-
13,2022-02-01,23:43:48,Disp,Pressure,27TR_,T,-,-
14,2022-02-01,23:41:31,App,Pressure,44TR_,T,-,-
15,2022-02-01,23:41:31,Disp,Pressure,44TR_,T,-,-
16,2022-02-01,23:40:23,App,Pressure,27TR_,T,-,-
17,2022-02-01,23:40:23,Disp,Pressure,27TR_,T,-,-
18,2022-02-01,23:38:14,App,Pressure,27TR_,T,-,-
19,2022-02-01,23:38:14,Disp,Pressure,27TR_,T,-,-
20,2022-02-01,23:36:47,App,Pressure,58TR_,T,-,-
21,2022-02-01,23:36:47,Disp,Pressure,58TR_,T,-,-
22,2022-02-01,23:35:23,App,Pressure,27TR_,T,-,-
23,2022-02-01,23:35:23,Disp,Pressure,27TR_,T,-,-
26,2022-02-01,23:33:04,App,Pressure,27TR_,T,-,-
27,2022-02-01,23:33:04,Disp,Pressure,27TR_,T,-,-
28,2022-02-01,23:30:14,App,Pressure,27TR_,T,-,-
29,2022-02-01,23:30:14,Disp,Pressure,27TR_,T,-,-
32,2022-02-01,23:30:01,Disp,Door,111TR_,C1,3G,2.8
33,2022-02-01,23:29:41,App,Door,111TR_,C1,3G,2.8
36,2022-02-01,23:26:02,Disp,Pressure,27TR_,T,-,-
37,2022-02-01,23:26:01,App,Pressure,27TR_,T,-,-
38,2022-02-01,23:23:24,App,Pressure,27TR_,T,-,-
39,2022-02-01,23:23:24,Disp,Pressure,27TR_,T,-,-
40,2022-02-01,23:21:20,App,Pressure,27TR_,T,-,-
41,2022-02-01,23:21:20,Disp,Pressure,27TR_,T,-,-
42,2022-02-01,23:21:11,Disp,Door,41TR_,C1,2G,2.88
43,2022-02-01,23:21:10,App,Door,41TR_,C1,2G,2.88
44,2022-02-01,23:21:04,App,Door,103TR_,C1,2G,3.07
45,2022-02-01,23:21:04,Disp,Door,103TR_,C1,2G,3.07
46,2022-02-01,23:16:05,App,Pressure,27TR_,T,-,-
47,2022-02-01,23:16:05,Disp,Pressure,27TR_,T,-,-
48,2022-02-01,23:15:53,App,Door,105TR_,C3,2D,3.1
49,2022-02-01,23:15:53,Disp,Door,105TR_,C3,2D,3.1
52,2022-02-01,23:13:20,Disp,Pressure,27TR_,T,-,-
53,2022-02-01,23:13:19,App,Pressure,27TR_,T,-,-
56,2022-02-01,23:11:24,Disp,Pressure,27TR_,T,-,-
57,2022-02-01,23:11:23,App,Pressure,27TR_,T,-,-
58,2022-02-01,23:05:55,Disp,Pressure,24TR_,T,-,-
59,2022-02-01,23:05:54,App,Pressure,24TR_,T,-,-
60,2022-02-01,23:05:52,Disp,Pressure,27TR_,T,-,-
61,2022-02-01,23:05:51,App,Pressure,27TR_,T,-,-
62,2022-02-01,23:03:05,App,Door,105TR_,C4,1G,2.93
63,2022-02-01,23:03:05,Disp,Door,105TR_,C4,1G,2.93
64,2022-02-01,23:01:43,App,Pressure,27TR_,T,-,-
65,2022-02-01,23:01:43,Disp,Pressure,27TR_,T,-,-
68,2022-02-01,22:50:03,Disp,Pressure,24TR_,T,-,-
69,2022-02-01,22:50:02,App,Pressure,24TR_,T,-,-
70,2022-02-01,22:38:56,Disp,Door,44TR_,C4,1G,3.09
71,2022-02-01,22:38:50,App,Door,44TR_,C4,1G,3.09
78,2022-02-01,22:30:08,Disp,Door,103TR_,C4,1G,3.24
79,2022-02-01,22:29:52,App,Door,103TR_,C4,1G,3.23
80,2022-02-01,22:28:16,Disp,Door,105TR_,C5,2D,2.94
81,2022-02-01,22:28:15,App,Door,105TR_,C2,1D,2.94
82,2022-02-01,22:28:15,App,Door,105TR_,C5,2D,2.94
83,2022-02-01,22:28:15,Disp,Door,105TR_,C2,1D,2.94
84,2022-02-01,22:27:54,Disp,Pressure,102TR_,T,-,-
85,2022-02-01,22:27:53,App,Pressure,102TR_,T,-,-
86,2022-02-01,22:27:51,App,Pressure,49TR_,T,-,-
87,2022-02-01,22:27:51,Disp,Pressure,49TR_,T,-,-
88,2022-02-01,22:24:01,Disp,Door,105TR_,C3,2D,3.09
89,2022-02-01,22:23:59,Disp,DoorGeneral,105TR_,T,-,3.09
90,2022-02-01,22:23:59,Disp,Door,105TR_,C4,1G,3.09
91,2022-02-01,22:23:59,Disp,Door,105TR_,C1,3D,3.09
92,2022-02-01,22:23:58,App,DoorGeneral,105TR_,T,-,3.09
93,2022-02-01,22:23:58,App,Door,105TR_,C3,2D,3.09
94,2022-02-01,22:23:58,App,Door,105TR_,C4,1G,3.09
95,2022-02-01,22:23:58,App,Door,105TR_,C1,3D,3.09
102,2022-02-01,22:02:51,App,Door,103TR_,C1,2G,2.98
103,2022-02-01,22:02:51,Disp,Door,103TR_,C1,2G,2.98
104,2022-02-01,22:02:06,App,Pressure,24TR_,T,-,-
105,2022-02-01,22:02:06,Disp,Pressure,24TR_,T,-,-
110,2022-02-01,21:56:44,Disp,Door,68TR_,C5,1G,2.88
111,2022-02-01,21:56:43,App,Door,68TR_,C5,1G,2.88
114,2022-02-01,21:54:59,Disp,Door,103TR_,C1,2G,2.95
116,2022-02-01,21:54:58,App,Door,103TR_,C1,2G,2.95
122,2022-02-01,21:44:56,Disp,Pressure,122TR_,T,-,-
123,2022-02-01,21:44:55,App,Pressure,3TR_,T,-,-
124,2022-02-01,21:44:55,Disp,Pressure,3TR_,T,-,-
125,2022-02-01,21:44:55,App,Pressure,122TR_,T,-,-
126,2022-02-01,21:41:15,App,Door,130TR_,C2,3D,2.95
127,2022-02-01,21:41:15,Disp,Door,130TR_,C2,3D,2.95
134,2022-02-01,21:30:33,Disp,Door,140TR_,C1,1G,2.99
135,2022-02-01,21:30:31,App,Door,140TR_,C1,1G,2.99
136,2022-02-01,21:25:30,Disp,Pressure,58TR_,T,-,-
137,2022-02-01,21:25:29,App,Pressure,58TR_,T,-,-
142,2022-02-01,21:19:20,App,Door,15TR_,C1,3D,2.76
143,2022-02-01,21:19:20,Disp,Door,15TR_,C1,3D,2.76
152,2022-02-01,21:14:57,Disp,Door,41TR_,C1,2D,2.97
153,2022-02-01,21:14:56,App,Door,41TR_,C1,2D,2.97
154,2022-02-01,21:14:42,Disp,DoorGeneral,88TR_,T,-,2.86
155,2022-02-01,21:14:42,Disp,Door,88TR_,C2,1D,2.86
156,2022-02-01,21:14:42,Disp,Door,88TR_,C4,3D,2.86
157,2022-02-01,21:14:42,Disp,Door,88TR_,C5,3D,2.86
158,2022-02-01,21:14:41,Disp,Door,88TR_,C2,3D,2.86
159,2022-02-01,21:14:40,App,DoorGeneral,88TR_,T,-,2.86
160,2022-02-01,21:14:40,App,Door,88TR_,C2,1D,2.86
161,2022-02-01,21:14:40,App,Door,88TR_,C2,3D,2.86
162,2022-02-01,21:14:40,App,Door,88TR_,C4,3D,2.86
163,2022-02-01,21:14:40,App,Door,88TR_,C5,3D,2.86
164,2022-02-01,21:14:29,Disp,Pressure,4TR_,T,-,-
