,Date,Hour,State,code,Train,CarNumber,Equipement,Pressure
2,2022-01-01,23:48:19,Disp,Door,106TR_,C3,3G,2.91
3,2022-01-01,23:48:14,App,Door,106TR_,C3,3G,2.9
4,2022-01-01,23:40:04,App,Pressure,76TR_,T,-,-
5,2022-01-01,23:40:04,Disp,Pressure,76TR_,T,-,-
6,2022-01-01,23:34:22,App,Door,46TR_,C2,2D,2.89
7,2022-01-01,23:34:22,Disp,Door,46TR_,C2,2D,2.89
8,2022-01-01,23:16:09,Disp,Door,20TR_,C2,1D,2.82
9,2022-01-01,23:16:05,App,Door,20TR_,C2,1D,2.83
14,2022-01-01,23:09:16,Disp,Door,36TR_,C2,2D,2.94
15,2022-01-01,23:09:02,App,Door,36TR_,C2,2D,2.94
16,2022-01-01,23:03:02,App,Door,46TR_,C1,1D,2.84
17,2022-01-01,23:03:02,Disp,Door,46TR_,C1,1D,2.84
20,2022-01-01,22:18:32,Disp,Door,76TR_,C4,3G,2.82
21,2022-01-01,22:18:31,App,Door,38TR_,C4,1D,2.95
22,2022-01-01,22:18:31,App,Door,38TR_,C5,3D,2.95
23,2022-01-01,22:18:31,Disp,Door,38TR_,C4,1D,2.95
24,2022-01-01,22:18:31,Disp,Door,38TR_,C5,3D,2.95
25,2022-01-01,22:18:31,App,Door,76TR_,C4,3G,2.82
28,2022-01-01,22:03:39,App,Door,36TR_,C5,3D,2.96
29,2022-01-01,22:03:39,Disp,Door,36TR_,C5,3D,2.96
30,2022-01-01,22:02:24,Disp,Door,138TR_,C1,1G,2.88
31,2022-01-01,22:02:20,App,Door,138TR_,C1,1G,2.88
32,2022-01-01,21:57:27,Disp,Door,127TR_,C2,1G,2.9
33,2022-01-01,21:57:26,App,Door,127TR_,C2,1G,2.9
34,2022-01-01,21:44:38,Disp,Door,20TR_,C2,1G,2.85
35,2022-01-01,21:44:37,App,Door,20TR_,C2,1G,2.85
36,2022-01-01,21:44:37,App,Door,20TR_,C5,3G,2.85
37,2022-01-01,21:44:37,Disp,Door,20TR_,C5,3G,2.85
40,2022-01-01,21:37:34,Disp,Door,28TR_,C3,2D,2.78
41,2022-01-01,21:37:24,App,Door,28TR_,C3,2D,2.78
42,2022-01-01,21:33:32,Disp,Door,106TR_,C4,2D,2.96
43,2022-01-01,21:33:31,App,Door,106TR_,C4,2D,2.96
44,2022-01-01,21:31:20,App,Pressure,76TR_,T,-,-
45,2022-01-01,21:31:20,Disp,Pressure,76TR_,T,-,-
46,2022-01-01,21:20:53,App,Door,46TR_,C3,2D,2.97
47,2022-01-01,21:20:53,App,Door,46TR_,C1,1D,2.97
48,2022-01-01,21:20:53,Disp,Door,46TR_,C3,2D,2.97
49,2022-01-01,21:20:53,Disp,Door,46TR_,C1,1D,2.97
52,2022-01-01,21:19:47,Disp,Door,48TR_,C5,1D,2.99
53,2022-01-01,21:19:29,App,Door,48TR_,C5,1D,2.99
54,2022-01-01,21:18:58,Disp,Door,109TR_,C3,2D,3
55,2022-01-01,21:18:52,App,Door,109TR_,C3,2D,3
56,2022-01-01,21:18:37,Disp,Door,5TR_,C4,3D,3.14
57,2022-01-01,21:18:37,Disp,Door,88TR_,C3,1G,3.07
58,2022-01-01,21:18:36,App,Door,5TR_,C4,3D,3.14
59,2022-01-01,21:18:36,App,Door,88TR_,C3,1G,3.07
60,2022-01-01,21:17:29,App,Door,36TR_,C4,1D,3.02
61,2022-01-01,21:17:29,Disp,Door,36TR_,C4,1D,3.02
62,2022-01-01,21:03:52,Disp,Door,106TR_,C5,1G,2.9
63,2022-01-01,21:03:51,App,Door,106TR_,C5,1G,2.9
64,2022-01-01,21:03:44,Disp,Door,96TR_,C1,2G,2.95
65,2022-01-01,21:03:43,App,Door,96TR_,C1,2G,2.95
66,2022-01-01,21:02:08,Disp,Door,5TR_,C3,2D,3.13
67,2022-01-01,21:02:07,App,Door,5TR_,C3,2D,3.12
72,2022-01-01,20:33:21,App,Door,46TR_,C1,1D,2.94
73,2022-01-01,20:33:21,Disp,Door,46TR_,C1,1D,2.94
74,2022-01-01,20:14:39,Disp,Door,30TR_,C4,1G,3
75,2022-01-01,20:14:37,App,DoorGeneral,30TR_,T,-,3
76,2022-01-01,20:14:37,App,Door,30TR_,C2,1G,3
77,2022-01-01,20:14:37,App,Door,30TR_,C2,2G,3
78,2022-01-01,20:14:37,App,Door,30TR_,C4,1G,3
79,2022-01-01,20:14:37,App,Door,30TR_,C4,2G,3
80,2022-01-01,20:14:37,App,Door,30TR_,C4,3G,3
81,2022-01-01,20:14:37,App,Door,30TR_,C5,3G,3
82,2022-01-01,20:14:37,Disp,DoorGeneral,30TR_,T,-,3
83,2022-01-01,20:14:37,Disp,Door,30TR_,C2,1G,3
84,2022-01-01,20:14:37,Disp,Door,30TR_,C2,2G,3
85,2022-01-01,20:14:37,Disp,Door,30TR_,C4,2G,3
86,2022-01-01,20:14:37,Disp,Door,30TR_,C4,3G,3
87,2022-01-01,20:14:37,Disp,Door,30TR_,C5,3G,3
92,2022-01-01,20:04:13,App,Door,127TR_,C5,2G,2.81
93,2022-01-01,20:04:13,Disp,Door,127TR_,C5,2G,2.81
94,2022-01-01,19:46:38,Disp,Door,46TR_,C3,2D,2.82
95,2022-01-01,19:46:37,App,Door,46TR_,C3,2D,2.82
96,2022-01-01,19:46:37,App,Door,46TR_,C1,1D,2.82
97,2022-01-01,19:46:37,Disp,Door,46TR_,C1,1D,2.82
98,2022-01-01,19:42:40,Disp,Door,4TR_,C1,2G,3.11
99,2022-01-01,19:42:36,App,Door,4TR_,C1,2G,3.11
102,2022-01-01,19:23:45,App,Door,88TR_,C2,3D,2.94
103,2022-01-01,19:23:45,Disp,Door,88TR_,C2,3D,2.94
106,2022-01-01,19:20:23,Disp,Door,38TR_,C4,3G,2.92
