,Date,Hour,State,code,Train,CarNumber,Equipement,Pressure
0,2022-03-01,23:59:53,App,Pressure,6TR_,T,-,-
1,2022-03-01,23:59:53,Disp,Pressure,6TR_,T,-,-
2,2022-03-01,23:53:33,App,Pressure,65TR_,T,-,-
3,2022-03-01,23:53:33,Disp,Pressure,65TR_,T,-,-
4,2022-03-01,23:53:12,App,Pressure,6TR_,T,-,-
5,2022-03-01,23:53:12,Disp,Pressure,6TR_,T,-,-
6,2022-03-01,23:53:09,App,Pressure,62TR_,T,-,-
7,2022-03-01,23:53:09,Disp,Pressure,62TR_,T,-,-
8,2022-03-01,23:51:19,App,Door,78TR_,C1,2D,3.08
9,2022-03-01,23:51:19,Disp,Door,78TR_,C1,2D,3.08
10,2022-03-01,23:51:13,App,Pressure,65TR_,T,-,-
11,2022-03-01,23:51:13,Disp,Pressure,65TR_,T,-,-
12,2022-03-01,23:50:59,Disp,Door,30TR_,C2,1D,3.15
13,2022-03-01,23:50:56,App,Door,30TR_,C2,1D,3.15
14,2022-03-01,23:48:27,Disp,Door,30TR_,C1,1D,3.01
15,2022-03-01,23:48:19,App,Door,30TR_,C1,1D,3.01
16,2022-03-01,23:47:28,App,Pressure,65TR_,T,-,-
17,2022-03-01,23:47:28,Disp,Pressure,65TR_,T,-,-
18,2022-03-01,23:46:32,App,Pressure,6TR_,T,-,-
19,2022-03-01,23:46:32,Disp,Pressure,6TR_,T,-,-
20,2022-03-01,23:44:45,App,Pressure,30TR_,T,-,-
21,2022-03-01,23:44:45,Disp,Pressure,30TR_,T,-,-
22,2022-03-01,23:44:12,App,Pressure,6TR_,T,-,-
23,2022-03-01,23:44:12,Disp,Pressure,6TR_,T,-,-
24,2022-03-01,23:41:19,App,Pressure,6TR_,T,-,-
25,2022-03-01,23:41:19,Disp,Pressure,6TR_,T,-,-
26,2022-03-01,23:39:03,App,Pressure,6TR_,T,-,-
27,2022-03-01,23:39:03,Disp,Pressure,6TR_,T,-,-
28,2022-03-01,23:34:12,App,Pressure,85TR_,T,-,-
29,2022-03-01,23:34:12,Disp,Pressure,85TR_,T,-,-
30,2022-03-01,23:29:09,App,Pressure,6TR_,T,-,-
31,2022-03-01,23:29:09,Disp,Pressure,6TR_,T,-,-
34,2022-03-01,23:27:33,App,Pressure,62TR_,T,-,-
35,2022-03-01,23:27:33,Disp,Pressure,62TR_,T,-,-
36,2022-03-01,23:23:44,Disp,Door,30TR_,C5,1D,3.1
39,2022-03-01,23:23:38,App,Door,30TR_,C5,1D,3.1
40,2022-03-01,23:22:52,App,Pressure,6TR_,T,-,-
41,2022-03-01,23:22:52,Disp,Pressure,6TR_,T,-,-
42,2022-03-01,23:20:59,Disp,Door,9TR_,C5,3D,3
43,2022-03-01,23:20:57,App,Door,9TR_,C5,3D,3
44,2022-03-01,23:19:28,App,Pressure,76TR_,T,-,-
45,2022-03-01,23:19:28,Disp,Pressure,76TR_,T,-,-
46,2022-03-01,23:19:00,App,Pressure,6TR_,T,-,-
47,2022-03-01,23:19:00,Disp,Pressure,6TR_,T,-,-
48,2022-03-01,23:17:11,App,Pressure,6TR_,T,-,-
49,2022-03-01,23:17:11,Disp,Pressure,6TR_,T,-,-
50,2022-03-01,23:10:36,Disp,Door,113TR_,C1,1D,2.86
51,2022-03-01,23:10:31,App,Door,113TR_,C1,1D,2.86
52,2022-03-01,23:08:40,App,Pressure,85TR_,T,-,-
53,2022-03-01,23:08:40,Disp,Pressure,85TR_,T,-,-
54,2022-03-01,23:01:34,App,Pressure,85TR_,T,-,-
55,2022-03-01,23:01:34,Disp,Pressure,85TR_,T,-,-
56,2022-03-01,22:59:10,App,Pressure,85TR_,T,-,-
57,2022-03-01,22:59:10,Disp,Pressure,85TR_,T,-,-
58,2022-03-01,22:56:16,App,Pressure,85TR_,T,-,-
59,2022-03-01,22:56:16,Disp,Pressure,85TR_,T,-,-
60,2022-03-01,22:53:48,App,Pressure,85TR_,T,-,-
61,2022-03-01,22:53:48,Disp,Pressure,85TR_,T,-,-
64,2022-03-01,22:45:39,App,Door,78TR_,C1,2D,2.9
65,2022-03-01,22:45:39,Disp,Door,78TR_,C1,2D,2.9
66,2022-03-01,22:45:19,App,Pressure,85TR_,T,-,-
67,2022-03-01,22:45:19,Disp,Pressure,85TR_,T,-,-
68,2022-03-01,22:42:58,App,Pressure,119TR_,T,-,-
69,2022-03-01,22:42:58,Disp,Pressure,119TR_,T,-,-
70,2022-03-01,22:29:09,Disp,Door,76TR_,C5,2G,2.99
71,2022-03-01,22:29:04,App,Door,76TR_,C5,2G,2.99
72,2022-03-01,22:18:07,App,Door,36TR_,C4,1D,3.06
73,2022-03-01,22:18:07,Disp,Door,36TR_,C4,1D,3.06
74,2022-03-01,22:17:16,Disp,Door,76TR_,C4,3G,2.93
75,2022-03-01,22:17:15,App,Door,76TR_,C4,3G,2.93
76,2022-03-01,22:16:45,Disp,Door,68TR_,C4,2D,3.11
77,2022-03-01,22:16:38,App,Door,68TR_,C4,2D,3.11
78,2022-03-01,22:15:23,Disp,Door,7TR_,C2,3D,2.78
79,2022-03-01,22:15:21,App,Door,7TR_,C2,3D,2.78
80,2022-03-01,21:52:35,App,Door,78TR_,C1,2D,2.98
81,2022-03-01,21:52:35,Disp,Door,78TR_,C1,2D,2.98
92,2022-03-01,21:43:12,Disp,Pressure,103TR_,T,-,-
93,2022-03-01,21:43:11,App,Pressure,103TR_,T,-,-
96,2022-03-01,21:32:10,App,Pressure,17TR_,T,-,-
97,2022-03-01,21:32:10,Disp,Pressure,17TR_,T,-,-
100,2022-03-01,21:26:15,App,Pressure,6TR_,T,-,-
101,2022-03-01,21:26:15,Disp,Pressure,6TR_,T,-,-
102,2022-03-01,21:26:00,App,Door,68TR_,C1,3D,3.04
103,2022-03-01,21:26:00,Disp,Door,68TR_,C1,3D,3.04
104,2022-03-01,21:23:58,App,Pressure,6TR_,T,-,-
105,2022-03-01,21:23:58,Disp,Pressure,6TR_,T,-,-
106,2022-03-01,21:21:56,Disp,Door,68TR_,C2,2D,3.14
107,2022-03-01,21:21:55,App,Door,68TR_,C2,2D,3.14
108,2022-03-01,21:19:13,App,Pressure,62TR_,T,-,-
109,2022-03-01,21:19:13,Disp,Pressure,62TR_,T,-,-
110,2022-03-01,21:18:30,App,Door,9TR_,C2,3G,2.83
111,2022-03-01,21:18:30,Disp,Door,9TR_,C2,3G,2.83
112,2022-03-01,21:15:10,Disp,Door,9TR_,C1,2G,2.83
113,2022-03-01,21:15:08,App,Door,9TR_,C1,2G,2.83
114,2022-03-01,21:15:02,App,Door,72TR_,C2,1D,2.81
115,2022-03-01,21:15:02,App,Door,72TR_,C2,2D,2.81
116,2022-03-01,21:15:02,Disp,Door,72TR_,C2,1D,2.81
117,2022-03-01,21:15:02,Disp,Door,72TR_,C2,2D,2.81
120,2022-03-01,21:13:38,App,Pressure,6TR_,T,-,-
121,2022-03-01,21:13:38,Disp,Pressure,6TR_,T,-,-
128,2022-03-01,21:04:12,Disp,Door,42TR_,C3,1D,3.12
129,2022-03-01,21:04:05,App,Door,42TR_,C3,1D,3.12
132,2022-03-01,21:03:09,Disp,Pressure,107TR_,T,-,-
133,2022-03-01,21:03:08,App,Pressure,107TR_,T,-,-
136,2022-03-01,20:59:04,App,Pressure,3TR_,T,-,-
137,2022-03-01,20:59:04,Disp,Pressure,3TR_,T,-,-
138,2022-03-01,20:58:44,App,Pressure,46TR_,T,-,-
139,2022-03-01,20:58:44,Disp,Pressure,46TR_,T,-,-
142,2022-03-01,20:56:51,App,Door,106TR_,C1,2G,3.09
143,2022-03-01,20:56:51,Disp,Door,106TR_,C1,2G,3.09
